PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete BE,105,4340.63202,70.74437667,79.61,7.25326,0,151.41,1350.99045,0.364823333,3.113266667,4.421296667,3983.077919,69.26040994,62.70665229,6.980994657,0,152.0246092,1279.775234,0.372735904,3.235393652,3.924005132,0
Athlete BI,105,3718.427295,64.089545,107.83,7.805525,0,127.355,1209.41696,0.3435,3.19068,3.7,3869.133518,73.71657019,129.6239408,7.429640543,0,147.4354572,1259.320794,0.394032497,3.203050264,3.581927325,0
Athlete BJ,105,2959.997273,59.79960333,110.33,7.4962,0,127,978.3883633,0.33163,3.292586667,5.372223333,3513.399766,67.69553107,140.643148,7.245670132,0.513941168,142.590029,1153.502705,0.371328104,3.291941572,5.248332733,0
Athlete BT,105,4033.0193,69.48172,197.625,7.822655,0,227.05,1317.782385,0.374875,3.21594,4.55,4095.579498,75.53011824,212.1424899,7.769728416,0,227.3870096,1298.162424,0.393495878,3.130913882,4.089186447,0
Athlete BU,105,5211.269817,72.40811,166.73,7.260473333,0,222.9933333,1670.372023,0.38538,3.20804,4.469696667,5173.706359,75.83329173,171.4851852,6.970144584,0,235.7825764,1669.886435,0.408321511,3.245238388,3.505537775,0
Athlete BV,105,3528.057203,62.63077333,17.52,6.278443333,0,67.78333333,1074.558783,0.310076667,3.007836667,1.666666667,3829.300127,66.3490577,15.19473039,6.080620935,0,89.66136889,1199.911317,0.342109,3.109409441,2.693265097,0
Athlete BW,105,4274.756427,72.44646,103.27,6.97628,0,124.6533333,1308.755223,0.362853333,3.0374,2.508333333,4308.304208,72.6892223,103.8419784,6.974458706,0,131.0175958,1350.695885,0.376147281,3.135385813,3.3063169,0
Athlete BY,105,4836.22587,75.74381333,265.0266633,7.6744,0,195.88,1442.662503,0.37495,2.97836,3.841353333,5138.834945,82.47576558,295.8733059,7.542248279,0.024876425,231.4087136,1558.673919,0.415975548,3.029191776,3.466270241,0
Athlete CA,105,3175.107613,61.84111667,121.4366667,7.17514,0,121.0466667,1017.89729,0.33245,3.230693333,2.855556667,3104.092662,68.02999105,118.0646682,7.136124936,0,132.9213542,1004.90509,0.369298537,3.259134496,3.409936378,0
Athlete CK,105,3807.291013,80.47776333,327.38333,7.45972,0,176.28,1153.088877,0.39025,2.9096,4.474746667,3462.688403,74.88936979,325.8931563,7.234740362,0,211.7610303,1091.476299,0.387017198,3.121281207,6.769154122,0
Athlete CR,105,4975.534847,69.21425333,385.6666667,9.186383333,12.76333333,225.0733333,1453.258553,0.334093333,2.895793333,4.137036667,5128.922054,70.6648152,386.3066675,8.929056082,10.9456214,237.1033936,1473.181142,0.338496894,2.874375234,4.364358815,0
Athlete D,105,4477.20056,56.89211,105.755,7.518505,0,109.25,1324.910085,0.27633,2.901235,3.25,4431.429858,60.31070824,120.482284,7.41385644,0,150.7873845,1329.402711,0.29913631,2.961439769,3.457656594,0
