PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete G,20,2572.162,10.72,94.086,7.358,26.112,66.606,893.656,0.378,3.41,5.59,3344.269118,11.80574628,165.3788069,7.735679829,43.04532405,93.60063838,1167.402463,0.389236445,3.423995983,5.575275984,0
Athlete H,20,1622.545,7.111666667,51.41166667,6.436666667,0.95,38.73166667,598.8233333,0.293333333,3.805,4.783333333,2196.538484,7.213092057,62.20151509,6.502020086,6.734798171,52.92091779,810.5557782,0.30336865,3.782242566,4.961246023,0
Athlete I,20,2087.4375,7.565,65.5075,6.9375,9.615,31.5675,711.8375,0.29,3.42,4.17,3046.910099,9.630849357,137.8155872,7.187735994,18.02054711,66.24357434,1049.317507,0.316147697,3.422324259,4.708913903,0
Athlete J,20,3879.655,9.96,142.11,7.49,7.105,76.39,1404.37,0.395,3.605,5.295,3422.584207,7.110529122,123.2590055,5.869483693,6.493421477,75.54984335,1268.485405,0.299728822,2.990694921,4.200179123,0
Athlete K,20,3217.978,10.292,201.282,7.906,44.884,76.65,948.5,0.292,2.94,4.742,3112.102686,9.098905974,169.5862081,7.939353965,37.72440904,66.56766992,956.8087137,0.286784654,3.062722294,4.677013373,0
Athlete L,20,2070.558,7.818,93.848,6.96,5.578,56.848,703.316,0.276,3.472,6.23,2466.424901,7.212108933,104.3518924,6.848986304,4.773326921,70.19979353,837.8949134,0.266473054,3.460212964,5.74600326,0
Athlete M,20,2988.028,9.052,240.316,7.322,59.992,89.134,983.226,0.296,3.34,3.48,3470.127163,8.790136062,252.3706319,7.452534172,74.60111529,111.8525357,1166.825378,0.300670068,3.371843919,3.774977493,0
Athlete N,20,2242.733333,11.88833333,104.9833333,6.87,3.366666667,70.58333333,816.38,0.381666667,3.865,6.52,2856.84711,11.12258018,138.2593178,7.05192189,20.82033083,102.72058,1042.325508,0.352712699,3.771750353,6.065046667,0
Athlete O,20,2157.305,6.785,57.28,7.135,7.21,33.24,772.03,0.33,3.8,5.48,3011.398665,7.517719203,65.89044691,6.72240319,7.216296296,57.39846698,1078.610789,0.348105276,3.654982425,5.124506889,0
Athlete P,20,2002.688,17.24,178.284,6.588,0,63.098,636.694,0.34,3.292,4.734,2773.754574,12.00251449,114.2165172,6.382908825,0,73.569667,934.8559725,0.325941655,3.380318244,4.784063222,0
Athlete Q,20,2395.605,5.486666667,12.55333333,5.598333333,0,32.07666667,878.795,0.325,3.651666667,4.525,2722.086128,5.266688837,16.43559821,5.679415425,0,39.32887167,1004.047423,0.31556202,3.666657998,4.393896569,0
